id,title,budget,release_date,revenue,tagline,rating,director_id
43597,Avatar,237000000,2009-12-10,-1507002209,Enter the World of Pandora.,7.2,4762
43598,Pirates of the Caribbean: At World's End,300000000,2007-05-19,961000000,"At the end of the world, the adventure begins.",6.9,4763
43599,Spectre,245000000,2015-10-26,880674609,A Plan No One Escapes,6.3,4764
43600,The Dark Knight Rises,250000000,2012-07-16,1084939099,The Legend Ends,7.6,4765
43601,John Carter,260000000,2012-03-07,284139100,"Lost in our world, found in another.",6.1,4766
43602,Spider-Man 3,258000000,2007-05-01,890871626,The battle within.,5.9,4767
43603,Tangled,260000000,2010-11-24,591794936,They're taking adventure to new lengths.,7.4,4768
43604,Avengers: Age of Ultron,280000000,2015-04-22,1405403694,A New Age Has Come.,7.3,4769
43605,Harry Potter and the Half-Blood Prince,250000000,2009-07-07,933959197,Dark Secrets Revealed,7.4,4770
43606,Batman v Superman: Dawn of Justice,250000000,2016-03-23,873260194,Justice or revenge,5.7,4771
43607,Superman Returns,270000000,2006-06-28,391081192,,5.4,4772
43608,Quantum of Solace,200000000,2008-10-30,586090727,"For love, for hate, for justice, for revenge.",6.1,4773
43609,Pirates of the Caribbean: Dead Man's Chest,200000000,2006-06-20,1065659812,Jack is back!,7.0,4763
43610,The Lone Ranger,255000000,2013-07-03,89289910,Never Take Off the Mask,5.9,4763
43611,Man of Steel,225000000,2013-06-12,662845518,You will believe that a man can fly.,6.5,4771
43612,The Chronicles of Narnia: Prince Caspian,225000000,2008-05-15,419651413,Hope has a new face.,6.3,4774
43613,The Avengers,220000000,2012-04-25,1519557910,Some assembly required.,7.4,4769
43614,Pirates of the Caribbean: On Stranger Tides,380000000,2011-05-14,1045713802,Live Forever Or Die Trying.,6.4,4775
43615,Men in Black 3,225000000,2012-05-23,624026776,They are back... in time.,6.2,4776
43616,The Hobbit: The Battle of the Five Armies,250000000,2014-12-10,956019788,Witness the defining chapter of the Middle-Earth saga,7.1,4777
43617,The Amazing Spider-Man,215000000,2012-06-27,752215857,The untold story begins.,6.5,4778
43618,Robin Hood,200000000,2010-05-12,310669540,"Rise and rise again, until lambs become lions.",6.2,4779
43619,The Hobbit: The Desolation of Smaug,250000000,2013-12-11,958400000,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,4777
43620,The Golden Compass,180000000,2007-12-04,372234864,There are worlds beyond our own - the compass will show the way.,5.8,4780
43621,King Kong,207000000,2005-12-14,550000000,The eighth wonder of the world.,6.6,4777
43622,Titanic,200000000,1997-11-18,1845034188,Nothing on Earth could come between them.,7.5,4762
43623,Captain America: Civil War,250000000,2016-04-27,1153304495,Divided We Fall,7.1,4781
43624,Battleship,209000000,2012-04-11,303025485,The Battle for Earth Begins at Sea,5.5,4782
43625,Jurassic World,150000000,2015-06-09,1513528810,The park is open.,6.5,4783
43626,Skyfall,200000000,2012-10-25,1108561013,Think on your sins.,6.9,4764
43627,Spider-Man 2,200000000,2004-06-25,783766341,There's a hero in all of us.,6.7,4767
43628,Iron Man 3,200000000,2013-04-18,1215439994,Unleash the power behind the armor.,6.8,4784
43629,Alice in Wonderland,200000000,2010-03-03,1025491110,You're invited to a very important date.,6.4,4785
43630,X-Men: The Last Stand,210000000,2006-05-24,459359555,Take a Stand,6.3,4786
43631,Monsters University,200000000,2013-06-20,743559607,School never looked this scary.,7.0,4787
